Staphylococcus epidermidis,1312
Staphylococcus aureus,1301;1303;1304;1305;1306
Coagulase-negative staphylococci (CNS),1311;1313;1314;1315;1316;1317;1318;1319;1320;1321;1322;1323;1324;1325
Corynebacterium sp.,6000
Cryptococcus neoformans,7111
Streptococcus pneumoniae,1131;1132;1133;1134
Propionibacterium acnes,5151
Pseudomonas aeruginosa,4001;4002
Enterococcus faecalis,1201;1202
Escherichia coli,2001;2002;2003;2004;2005;2006;2007
Staphylococcus sp.,1300
Klebsiella pneumoniae,2351
Streptococcus agalactiae,1114
Enterobacter cloacae,2151
Listeria monocytogenes,6051