01,1101,4;16
01,1216,8;32
01,1260,8;32
01,1266,16;128
01,1271,8;32
01,1276,16;128
01,1281,8;32
01,1282,16;128
01,1401,1;4
01,1411,1;4
01,1451,8;32
01,1521,8;32
01,1536,8;32
01,1537,2;8
01,1551,8;32
01,1553,4;32
01,1556,8;32
01,1561,1;4
01,1562,8;32
01,1566,4;16
01,1571,8;32
01,1581,1;4
01,1591,2;8
01,1601,16;64
01,1606,8;32
01,1611,16;64
01,1636,1;4
01,1641,16;64
01,1651,1;4
01,1656,1;4
01,1661,4;16
01,1676,8;32
01,1681,8;32
01,1801,16;64
01,1816,16;64
01,1821,4;16
01,1841,4;16
01,1861,8;32
01,2101,4;16
01,2116,4;16
01,2121,4;16
01,2201,8;32
01,2401,16;32
01,2416,16;64
01,2501,4;16
01,2506,2;8
01,2511,2;8
01,2516,2;8
01,2521,1;4
01,2526,2;8
01,2536,2;8
01,2551,1;4
01,2561,2;8
01,2726,40;80
02,1222,16;128
02,1266,16;128
02,1267,16;128
02,1276,16;128
02,1281,8;32
02,1282,16;128
02,1401,4;16
02,1411,4;16
02,1636,8;64
02,1656,8;64
02,1661,8;32
02,1681,8;32
02,1816,16;64
02,1821,4;16
02,1841,4;16
02,1861,8;32
02,2101,4;16
02,2116,4;16
02,2121,4;16
02,2311,2;4
02,2316,2;4
02,2516,2;8
02,2521,1;4
02,2561,2;8
02,2726,40;80
03,1101,8;32
03,1266,16;128
03,1267,16;128
03,1276,16;128
03,1282,16;128
03,1401,2;8
03,1411,2;8
03,1661,8;32
03,1681,8;32
03,1816,16;64
03,1821,4;16
03,1841,4;16
03,1861,8;32
03,2311,2;8
03,2316,2;8
03,2501,4;16
03,2511,2;8
03,2516,2;8
03,2521,1;4
03,2526,2;8
03,2561,2;8
04,1101,2;0
04,1216,1;4
04,1271,4;8
04,1281,2;4
04,1282,1;2
04,1401,4;0
04,1411,0.5;0
04,1451,8;32
04,1521,8;32
04,1551,4;16
04,1553,4;16
04,1556,4;16
04,1561,1;0
04,1562,8;32
04,1566,4;16
04,1571,2;0
04,1581,1;0
04,1591,2;0
04,1636,2;0
04,1651,2;0
04,1656,2;0
04,1661,2;0
04,1681,2;0
04,1911,8;32
04,1941,4;0
04,1951,4;16
04,2101,2;8
04,2201,2;8
04,2511,2;0
04,2516,2;0
04,2521,1;0
04,2526,2;0
04,2536,2;0
04,2541,0.25;0
04,2551,0.5;0
04,2561,1;0
04,2578,1;0
04,2726,10;80
04,2826,1;4
05,1201,0.12;0.25
05,1208,0.25;0.5
05,1216,0.25;0.5
05,1271,4;8
05,1276,8;16
05,1281,8;32
05,1282,8;16
05,1401,4;16
05,1411,4;16
05,1451,8;32
05,1521,8;32
05,1536,8;32
05,1537,8;32
05,1551,8;32
05,1553,4;32
05,1556,8;32
05,1561,1;4
05,1562,8;32
05,1591,2;8
05,1601,16;64
05,1611,16;64
05,1636,8;64
05,1641,16;64
05,1651,8;64
05,1656,8;64
05,1661,8;32
05,1681,8;32
05,1801,16;64
05,1816,16;64
05,1821,4;16
05,1841,4;16
05,1861,8;32
05,1901,0.5;8
05,1911,2;8
05,1941,2;8
05,1951,1;4
05,2006,0.5;4
05,2101,4;16
05,2116,4;16
05,2121,4;16
05,2201,8;32
05,2301,4;32
05,2306,8;32
05,2501,4;16
05,2511,1;4
05,2516,1;4
05,2521,1;4
05,2526,2;8
05,2536,2;8
05,2541,0.5;2
05,2551,1;4
05,2561,0.5;2
05,2578,0.5;2
05,2616,4;8
05,2621,1;4
05,2726,40;80
05,2826,1;4
06,1201,8;16
06,1216,8;16
06,1901,0.5;8
06,2101,4;16
06,2116,4;16
06,2121,4;16
06,2201,8;32
06,2301,4;32
06,2306,8;32
06,2501,4;16
06,2516,2;8
06,2521,1;4
06,2561,2;8
06,2601,64;256
06,2616,2;8
06,2621,1;4
06,2826,1;4
07,1201,0.06;2
07,1551,1;4
07,1566,0.5;0
07,1581,0.25;0
07,1591,0.5;0
07,1601,2;8
07,1606,2;8
07,1611,2;8
07,1636,0.5;0
07,1651,0.5;0
07,1656,0.25;0
07,1661,0.5;0
07,1681,0.5;0
07,2101,0.25;2
07,2506,0.5;2
07,2511,0.25;2
07,2521,0.06;1
07,2526,0.12;2
07,2536,0.25;1
07,2551,0.06;1
07,2561,0.125;0.5
07,2606,32;128
08,1201,2;8
08,1246,2;8
08,1271,2;8
08,1401,0.12;1
08,1411,0.25;1
08,1451,2;8
08,1521,1;4
08,1551,0.5;2
08,1553,1;4
08,1561,0.5;2
08,1562,2;8
08,1591,0.5;2
08,1636,1;4
08,1656,1;4
08,1681,1;4
08,1901,0.25;1
08,1911,0.25;1
08,1941,0.5;2
08,1951,1;4
08,2006,0.25;1
08,2101,2;8
08,2201,4;8
08,2301,1;0
08,2511,2;8
08,2516,2;8
08,2541,0.5;2
08,2551,0.5;2
08,2561,1;4
08,2578,1;4
08,2616,2;0
08,2621,1;4
08,2726,10;80
08,2826,1;4
09,1201,0.12;0
09,1216,0.25;0
09,1411,0.5;0
09,1636,0.5;0
09,1656,0.5;0
09,1681,0.5;0
09,1901,0.25;1
09,1911,0.25;1
09,1941,0.5;2
09,2006,0.25;1
09,2101,2;8
09,2201,4;16
09,2301,1;0
09,2511,2;8
09,2516,2;8
09,2551,0.5;2
09,2561,1;4
09,2616,2;0
12,1201,0.12;0.25
12,1207,8;16
12,1208,2;4
12,1216,0.25;0.5
12,1271,4;8
12,1276,8;16
12,1281,8;32
12,1282,8;16
12,1401,4;16
12,1411,4;16
12,1451,8;32
12,1521,8;32
12,1536,8;32
12,1537,8;32
12,1551,8;32
12,1553,4;32
12,1556,8;32
12,1561,1;4
12,1562,8;32
12,1591,2;8
12,1601,16;64
12,1606,4;8
12,1611,16;64
12,1636,8;64
12,1641,16;64
12,1651,8;64
12,1656,8;64
12,1661,8;32
12,1681,8;32
12,1801,16;64
12,1816,16;64
12,1821,4;16
12,1841,4;16
12,1861,8;32
12,1901,0.5;8
12,1911,2;8
12,1941,2;8
12,1951,1;4
12,2006,0.5;4
12,2101,4;16
12,2116,4;16
12,2121,4;16
12,2201,8;32
12,2301,2;16
12,2306,8;32
12,2331,1;0
12,2501,4;16
12,2511,1;4
12,2516,1;4
12,2521,1;4
12,2526,2;8
12,2536,2;8
12,2541,0.5;2
12,2551,1;4
12,2561,0.5;2
12,2578,0.5;2
12,2616,4;8
12,2621,1;4
12,2726,40;80
12,2826,1;4
13,1201,0.12;0.25
13,1208,0.25;0.5
13,1216,0.25;0.5
13,1271,4;8
13,1276,8;16
13,1281,8;32
13,1282,8;16
13,1401,4;16
13,1411,4;16
13,1451,8;32
13,1521,8;32
13,1536,8;32
13,1537,8;32
13,1551,8;32
13,1553,4;32
13,1556,8;32
13,1561,1;4
13,1562,8;32
13,1591,2;8
13,1601,16;64
13,1611,16;64
13,1636,8;64
13,1641,16;64
13,1651,8;64
13,1656,8;64
13,1661,8;32
13,1681,8;32
13,1801,16;64
13,1816,16;64
13,1821,4;16
13,1841,4;16
13,1861,8;32
13,1901,0.5;8
13,1911,2;8
13,1941,2;8
13,1951,1;4
13,2006,0.5;4
13,2101,4;16
13,2116,4;16
13,2121,4;16
13,2201,8;32
13,2301,4;32
13,2306,8;32
13,2501,4;16
13,2506,2;8
13,2511,1;4
13,2516,1;4
13,2521,1;4
13,2526,2;8
13,2536,2;8
13,2541,0.5;2
13,2551,1;4
13,2561,0.5;2
13,2578,0.5;2
13,2616,4;8
13,2621,1;4
13,2726,40;80
13,2826,1;4
14,1201,0.06;0.5
14,1216,0.12;2
14,1411,0.25;0
14,1636,0.12;0
14,1656,0.12;0
14,1941,2;0
14,2121,2;0
14,2201,2;8
14,2516,0.03;0.12
14,2521,0.03;0.12
14,2726,2.52;10
14,2826,0.5;2
15,1276,16;128
15,1661,8;32
15,2121,4;16
15,2201,8;32
15,2516,2;8
15,2726,40;80
16,1101,8;32
16,1222,16;128
16,1252,16;64
16,1266,16;128
16,1267,16;128
16,1276,16;128
16,1282,16;128
16,1401,4;16
16,1411,4;16
16,1636,8;64
16,1641,16;64
16,1651,8;64
16,1656,8;64
16,1661,8;32
16,1681,8;32
16,1816,16;64
16,1821,4;16
16,1841,4;16
16,1861,8;32
16,2101,4;16
16,2116,4;16
16,2121,4;16
16,2201,8;32
16,2311,2;8
16,2316,2;8
16,2501,4;16
16,2511,2;8
16,2516,2;8
16,2521,1;4
16,2526,2;8
16,2561,2;8
16,2726,40;80
17,1201,0.12;0
17,1216,0.25;0
17,1411,0.5;0
17,1636,0.5;0
17,1656,0.5;0
17,1681,0.5;0
17,1901,0.25;1
17,1911,0.25;1
17,1941,0.5;2
17,2006,0.25;1
17,2101,2;8
17,2201,4;16
17,2301,1;0
17,2511,2;8
17,2516,2;8
17,2551,0.5;2
17,2561,1;4
17,2616,2;0
17,2621,1;4
18,1201,0.12;4
18,1216,0.25;8
18,1411,0.5;0
18,1636,1;4
18,1656,1;4
18,1681,1;4
18,1901,0.25;1
18,1911,0.25;1
18,1941,0.5;2
18,2006,0.25;1
18,2101,2;8
18,2201,4;16
18,2301,1;0
18,2511,2;8
18,2516,2;8
18,2551,0.5;2
18,2561,1;4
18,2616,2;0
19,1276,16;128
19,1411,4;16
19,1661,8;32
19,2121,4;16
19,2201,8;32
19,2516,2;8
19,2726,40;80
20,1201,0.06;0.12
20,1401,0.12;1
20,1411,0.25;1
20,1451,2;8
20,1521,1;4
20,1551,0.5;2
20,1553,1;4
20,1561,0.5;2
20,1562,2;8
20,1591,0.5;2
20,1636,0.5;2
20,1656,0.5;2
20,1681,0.5;2
20,1901,0.25;1
20,1911,0.25;1
20,1941,0.5;2
20,1951,1;4
20,2006,0.25;1
20,2101,2;8
20,2201,4;8
20,2301,1;0
20,2511,2;8
20,2516,2;8
20,2541,0.5;2
20,2551,0.5;2
20,2561,1;4
20,2578,1;4
20,2616,2;0
20,2621,1;4
20,2726,10;80
20,2826,1;4
21,1101,4;16
21,1216,8;32
21,1260,8;32
21,1266,16;128
21,1271,8;32
21,1276,16;128
21,1281,8;32
21,1282,16;128
21,1401,1;4
21,1411,1;4
21,1451,8;32
21,1521,8;32
21,1536,8;32
21,1537,2;8
21,1551,8;32
21,1553,4;32
21,1556,8;32
21,1561,1;4
21,1562,8;32
21,1566,4;16
21,1571,8;32
21,1581,1;4
21,1591,2;8
21,1601,16;64
21,1606,8;32
21,1611,16;64
21,1636,1;4
21,1641,16;64
21,1651,1;4
21,1656,1;4
21,1661,4;16
21,1681,8;32
21,1801,16;64
21,1816,16;64
21,1821,4;16
21,1841,4;16
21,1861,8;32
21,2101,4;16
21,2116,4;16
21,2121,4;16
21,2201,8;32
21,2401,16;32
21,2416,16;64
21,2501,4;16
21,2506,2;8
21,2511,2;8
21,2516,2;8
21,2521,1;4
21,2526,2;8
21,2536,2;8
21,2551,1;4
21,2561,2;8
21,2601,64;256
21,2726,40;80
12,1281,8;32
12,1271,4;8
12,1537,8;32
12,1411,4;16
12,1401,4;16
13,1537,8;32
13,1411,4;16
13,1401,4;16
05,1537,8;32
05,1411,4;16
05,1401,4;16
01,2601,64;256
C1,1537,8;32
C1,1401,4;16
C1,2006,0.5;4
C1,2301,4;0
C1,1821,4;16
C1,2516,2;8
C1,2521,1;4
C2,1901,8;32
C2,2101,4;16
C2,2521,1;4
